"","fecha_inicial","fecha_final","año_inicial","mes_inicial","dia_inicial","año_final","mes_final","dia_final","pais","ciudad","categoria_principal","categoria","proyecto_featured","descripcion_largo","descripcion_full_largo","titulo_largo","cant_creaciones_dueño","cant_faqs","cant_imagenes","cant_videos","cant_tiers","tier_promedio","tier_max","tier_min","duracion","moneda","objetivo_monto","objetivo_ratio","monto_obtenido","monto_obtenido_porcentaje","estado","exito","cant_actualizaciones","cant_backers","cant_backers_tiers","cant_comentarios","backers_promedio_por_tier","aporte_promedio_por_backer","title","cotizacion","moneda_igual_pais","dia_semana_inicial","dia_semana_final","weekend_inicial","weekend_final","primera_quincena_inicial","primera_quincena_final","id"
"3927",2019-02-24,2019-04-25,2019,2,24,2019,4,25,"France","Toulouse","Art","Illustration","0",103,868,40,1,0,1,0,3,272.1936,453.656,22.6828,60,"EUR",5443.872,102.901883168,165.58444,0.0304,"Funding Unsuccessful","fail",1,5,2,0,0.67,29.2,"Les cols de papier par Stéphane Chaillou",1.13414,1,"domingo","jueves",1,0,0,0,3944
"3928",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Columbus","Games","Tabletop Games","0",75,2949,32,1,0,21,2,3,50,75,25,30,"USD",8000,266.666666666667,11092,1.3865,"Funding Successful","success",5,266,261,31,87,41.7,"DON'T GET STABBED! The Card Game",1,1,"martes","jueves",0,0,0,0,3945
"3929",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Netherlands","Rotterdam","Games","Games","0",126,4377,15,1,0,1,0,4,55.24995,135.306,1.12755,30,"EUR",14658.15,550.92656775,68.78055,0.0047,"Funding Unsuccessful","fail",2,2,1,0,0.25,30.5,"Grand Adventure",1.12755,1,"martes","jueves",0,0,0,0,3946
"3930",2019-03-20,2019-04-24,2019,3,20,2019,4,24,"United Kingdom","London","Design","Design","0",135,2641,36,1,1,13,1,3,62.5060333333333,104.32345,38.29595,35,"GBP",990.4125,37.368263625,14939.38215,15.084,"Funding Successful","success",7,305,300,107,50,37.09,"ICENI FOUNTAIN PEN | LIMITED EDITION",1.32055,1,"miércoles","miércoles",0,0,0,0,3947
"3931",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Houston","Film & Video","Drama","0",126,2783,36,1,0,5,1,11,672.272727272727,4000,10,30,"USD",12000,400,14461,1.2051,"Funding Successful","success",13,95,77,0,7,152.22,"THE WAY THAT I TAKE (the short film)",1,1,"martes","jueves",0,0,0,0,3948
"3932",2019-03-25,2019-04-24,2019,3,25,2019,4,24,"Netherlands","Lochem","Games","Video Games","0",135,3733,47,1,0,15,1,9,113.280727777778,452.62,1.13155,30,"EUR",11315.5,426.801800833333,74.6823,0.0066,"Funding Unsuccessful","fail",2,7,6,0,0.67,9.43,"ForLife, A semi-realistic 3D Prison escape game",1.13155,1,"lunes","miércoles",0,0,0,0,3949
"3933",2019-03-20,2019-04-24,2019,3,20,2019,4,24,"United States","Tampa","Art","Painting","0",117,1727,35,1,0,10,3,10,206.1,950,1,35,"USD",3200,91.4285714285714,3212,1.0037,"Funding Successful","success",5,22,19,0,1.9,146,"Your Mind, My Design, Our Creation!",1,1,"miércoles","miércoles",0,0,0,0,3950
"3934",2019-04-01,2019-04-24,2019,4,1,2019,4,24,"United States","Durango","Publishing","Publishing","0",32,4667,22,1,0,12,1,13,114.538461538462,450,1,23,"USD",19600,852.173913043478,20813,1.0619,"Funding Successful","success",2,203,189,2,13.5,102.53,"Cosmic Cat Wisdom Deck",1,1,"lunes","miércoles",0,0,1,0,3951
"3935",2019-03-25,2019-04-24,2019,3,25,2019,4,24,"Germany","Ludwigshafen","Technology","Software","0",59,2733,42,1,0,14,1,7,92.7871,225.17845,5.65775,30,"EUR",18670.575,704.222971375,1885.1623,0.101,"Cancelled by Creator","fail",0,15,11,0,1.57,111.07,"Bushmokk: The Marketplace For Bushcrafters",1.13155,1,"lunes","miércoles",0,0,0,0,3952
"3936",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Spain","Madrid","Fashion","Accessories","0",68,5316,22,1,0,35,1,9,168.130233333333,507.3975,37.20915,30,"EUR",1691.325,63.568450125,2172.78885,1.2847,"Funding Successful","success",3,16,13,2,1.44,120.44,"Antigravity Suspenders",1.12755,1,"martes","jueves",0,0,0,0,3953
"3937",2019-02-25,2019-04-25,2019,2,25,2019,4,25,"Mexico","Cancun","Film & Video","Animation","0",48,1553,12,1,0,0,1,2,78.369,104.492,52.246,59,"MXN",2089.84,1.85060645152542,0.992674,5e-04,"Funding Unsuccessful","fail",1,1,0,0,0,19,"Golgotech TV",0.052246,1,"lunes","jueves",0,0,0,0,3954
"3938",2019-03-25,2019-04-24,2019,3,25,2019,4,24,"United States","Kingston","Theater","Experimental","0",121,1196,19,1,0,1,1,4,27.5,50,10,30,"USD",800,26.6666666666667,827,1.0338,"Funding Successful","success",2,21,16,0,4,39.38,"What's it Feel Like",1,1,"lunes","miércoles",0,0,0,0,3955
"3939",2019-03-10,2019-04-24,2019,3,10,2019,4,24,"United States","Manhattan","Food","Food","0",132,3597,60,1,0,11,1,6,254.666666666667,800,20,45,"USD",10000,222.222222222222,13038,1.3038,"Funding Successful","success",1,84,57,4,9.5,155.21,"BECKAROOS! A modern take on the 90s childhood snack favorite",1,1,"domingo","miércoles",1,0,1,0,3956
"3940",2019-03-10,2019-04-24,2019,3,10,2019,4,24,"United States","Hyattsville","Publishing","Children's Books","0",66,2895,5,1,0,6,1,7,66.4285714285714,250,5,45,"USD",2500,55.5555555555556,4224,1.6896,"Funding Successful","success",7,118,105,1,15,35.8,"Awake",1,1,"domingo","miércoles",1,0,1,0,3957
